2025-08-30 13:39:29 | WARNING | fetch | fetch failed for https://www.stc.com.sa/content/stc/sa/en/business/connect.html: 500 Server Error: Internal Server Error for url: https://www.stc.com.sa/content/stc/sa/en/business/connect.html
2025-08-30 13:39:29 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/mobile/packages/sawa-ziyara.html chars=17808
2025-08-30 13:39:30 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/lifestyle.html chars=15208
2025-08-30 13:39:31 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/mobile/self-activation-sim.html chars=16908
2025-08-30 13:39:31 | INFO | search | ddgs.text q='stc (Saudi Telecom Company) reviews NPS' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:39:31 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=stc%20%28Saudi%20Telecom%20Company%29%20reviews%20NPS 200
2025-08-30 13:39:31 | INFO | primp | response: https://www.mojeek.com/search?q=stc+%28Saudi+Telecom+Company%29+reviews+NPS 200
2025-08-30 13:39:31 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:39:32 | INFO | fetch | fetched https://brandfinance.com/press-releases/telecom-brand-values-grow-globally-with-maturity-of-new-technologies-improving-customer-perception chars=17512
2025-08-30 13:39:32 | WARNING | fetch | fetch failed for https://clutch.co/profile/foresiet: 403 Client Error: Forbidden for url: https://clutch.co/profile/foresiet
2025-08-30 13:39:34 | INFO | fetch | fetched https://www.tmforum.org/about/awards-and-recognition/catalyst-team-awards/ chars=70986
2025-08-30 13:39:35 | INFO | fetch | fetched https://brandfinance.com/press-releases/middle-east-brand-values-grow-quickly-aramco-remains-on-top chars=14235
2025-08-30 13:39:35 | WARNING | fetch | fetch failed for https://teknologi.bisnis.com/read/20240626/84/1777234/telkomsel-borong-tiga-penghargaan-di-tm-forums-innovation-awards-2024: 403 Client Error: Forbidden for url: https://teknologi.bisnis.com/read/20240626/84/1777234/telkomsel-borong-tiga-penghargaan-di-tm-forums-innovation-awards-2024
2025-08-30 13:39:35 | INFO | search | ddgs.text q='stc (Saudi Telecom Company) support channels' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:39:35 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=stc%20%28Saudi%20Telecom%20Company%29%20support%20channels 200
2025-08-30 13:39:36 | INFO | primp | response: https://search.yahoo.com/search;_ylt=upkeHF5KUwmwo4cUmhu_eJgY;_ylu=mr8OdExEvCjGp5eVHgbaPvfiAPrjZVhjpCzB8lwO4d5DXyE?p=stc+%28Saudi+Telecom+Company%29+support+channels 200
2025-08-30 13:39:37 | INFO | search | ddgs.text -> 5 hits
2025-08-30 13:39:38 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/personal/support/contact-us/customer-care.html chars=16474
2025-08-30 13:39:38 | WARNING | fetch | fetch failed for https://www.channels.com.sa/: HTTPSConnectionPool(host='www.channels.com.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:997)')))
2025-08-30 13:39:38 | WARNING | fetch | fetch failed for https://www.stc.com/content/stcgroupwebsite/sa/en/rawafed/we-support-you.html: 500 Server Error: Internal Server Error for url: https://www.stc.com/content/stcgroupwebsite/sa/en/rawafed/we-support-you.html
2025-08-30 13:39:38 | INFO | fetch | fetched https://ksaexpats.com/stc-customer-care-number-ksa/ chars=5317
2025-08-30 13:39:39 | INFO | fetch | fetched https://www.stc.com.sa/content/stc/sa/en/business/static/how-to-reach-us.html chars=15513
2025-08-30 13:39:59 | INFO | llm | embed batch=60 latency=20.14s
2025-08-30 13:39:59 | INFO | llm | embed batch=1 latency=0.11s
2025-08-30 13:39:59 | INFO | orchestrator | enrichment: synthesize stc (Saudi Telecom Company) hits=5
2025-08-30 13:39:59 | INFO | orchestrator | enrichment built chars=3480
2025-08-30 13:40:19 | INFO | llm | LLM md_stream total_chars=0 latency=19.15s
2025-08-30 13:40:19 | INFO | orchestrator | events:research:done company=stc (Saudi Telecom Company) hits=5
2025-08-30 13:42:23 | INFO | llm | LLM ready=True latency=2.30s
2025-08-30 13:42:23 | INFO | llm | Embeddings ready=True latency=0.09s
2025-08-30 13:42:23 | INFO | uvicorn.access | 127.0.0.1:55119 - "GET /api/health HTTP/1.1" 200
2025-08-30 13:42:25 | INFO | uvicorn.access | 127.0.0.1:55125 - "GET /api/stream/outreach/c1/preview?online=true&bypass=true HTTP/1.1" 200
2025-08-30 13:42:25 | INFO | orchestrator | people: websearch for stc (Saudi Telecom Company)
2025-08-30 13:42:25 | INFO | search | ddgs.text q='site:linkedin.com ("Head of Customer Experience" OR "Customer Experience Director" OR "Chief Customer Officer" OR "VP Customer Experience" OR "CX Lead") stc (Saudi Telecom Company)' region=xa-en safe=moderate backend=auto timeout=20s proxy=False
2025-08-30 13:42:26 | INFO | primp | response: https://en.wikipedia.org/w/api.php?action=opensearch&profile=fuzzy&limit=1&search=site%3Alinkedin.com%20%28%22Head%20of%20Customer%20Experience%22%20OR%20%22Customer%20Experience%20Director%22%20OR%20%22Chief%20Customer%20Officer%22%20OR%20%22VP%20Customer%20Experience%22%20OR%20%22CX%20Lead%22%29%20stc%20%28Saudi%20Telecom%20Company%29 200
2025-08-30 13:42:27 | INFO | primp | response: https://www.google.com/search?q=site%3Alinkedin.com+%28%22Head+of+Customer+Experience%22+OR+%22Customer+Experience+Director%22+OR+%22Chief+Customer+Officer%22+OR+%22VP+Customer+Experience%22+OR+%22CX+Lead%22%29+stc+%28Saudi+Telecom+Company%29&filter=1&start=0&asearch=arc&async=arc_id%3Asrp_tq1AWsd3EQ9UaKRYoct-hwA_100%2Cuse_ac%3Atrue%2C_fmt%3Aprog&ie=UTF-8&oe=UTF-8&hl=en-XA&lr=lang_en&cr=countryXA 200
